session,exit_session,side,strike,expiry,lot,rsi,close,ema,entry_spot,exit_spot,entry_premium,exit_premium,priced,capital,charges,net
2023-10-04,2023-10-05,CE,19250,2023-10-05,50,72.0,19444.55,19401.72,19443.15,19535.95,202.0,278.95,True,10100.0,69.54,3777.9599999999996
2023-10-23,2023-10-25,PE,19500,2023-10-26,50,12.2,19272.7,19380.23,19287.05,19329.1,253.95,182.5,True,12697.5,65.82,-3638.3199999999997
2023-11-06,2023-11-07,CE,19200,2023-11-09,50,76.5,19416.5,19381.85,19414.0,19373.9,235.2,200.45,True,11760.0,66.21,-1803.71
2023-11-28,2023-11-29,CE,19700,2023-11-30,50,78.5,19896.15,19860.36,19885.65,19974.75,242.0,304.8,True,12100.0,72.31,3067.6900000000005
2023-11-29,2023-11-30,CE,19900,2023-11-30,50,79.5,20101.9,20074.21,20091.95,20113.0,235.4,229.0,True,11770.0,67.83,-387.83000000000027
2023-12-04,2023-12-05,CE,20500,2023-12-07,50,72.5,20678.3,20648.77,20677.7,20718.2,235.05,258.1,True,11752.5,69.45,1083.0500000000004
2023-12-05,2023-12-06,CE,20650,2023-12-07,50,70.5,20857.75,20824.38,20857.15,20931.3,235.35,312.3,True,11767.5,72.52,3774.980000000001
2023-12-08,2023-12-11,CE,20750,2023-12-14,50,70.9,20978.15,20932.73,20974.65,20986.7,290.5,295.45,True,14525.0,73.38,174.11999999999944
2023-12-13,2023-12-14,CE,20700,2023-12-14,50,70.2,20924.2,20877.6,20922.95,21114.8,241.65,393.65,True,12082.5,77.31,7522.689999999998
2023-12-15,2023-12-18,CE,21250,2023-12-21,50,85.0,21457.45,21375.37,21437.85,21394.25,281.3,229.35,True,14065.0,69.35,-2666.850000000001
2023-12-20,2023-12-21,PE,21400,2023-12-21,50,20.4,21142.35,21269.97,21175.9,21066.4,252.3,372.75,True,12615.0,76.48,5946.0199999999995
2023-12-27,2023-12-28,CE,21450,2023-12-28,50,77.0,21668.5,21589.78,21665.9,21735.4,257.25,295.75,True,12862.5,72.3,1852.7
2024-01-09,2024-01-10,PE,21750,2024-01-11,50,27.0,21542.05,21606.01,21554.6,21546.6,203.9,219.6,True,10195.0,66.26,718.7399999999994
2024-01-24,2024-01-25,CE,21250,2024-01-25,50,73.2,21456.05,21383.82,21442.75,21418.35,233.8,190.8,True,11690.0,65.62,-2215.62
2024-01-30,2024-01-31,PE,21700,2024-02-01,50,28.3,21527.35,21595.25,21503.75,21475.05,253.05,250.0,True,12652.5,69.59,-222.09000000000057
2024-03-06,2024-03-07,CE,22250,2024-03-07,50,75.3,22473.3,22414.33,22472.9,22478.45,272.25,252.3,True,13612.5,70.35,-1067.8499999999995
2024-04-02,2024-04-03,CE,22250,2024-04-04,50,70.7,22452.3,22427.73,22441.8,22360.5,220.1,139.0,True,11005.0,62.26,-4117.259999999999
2024-04-22,2024-04-23,CE,22100,2024-04-25,50,71.8,22347.4,22304.8,22324.9,22423.8,280.2,310.5,True,14010.0,73.89,1441.1100000000004
2024-04-29,2024-04-30,CE,22450,2024-05-02,25,72.1,22653.05,22619.09,22647.45,22673.5,263.0,276.65,True,6575.0,59.31,281.93999999999943
2024-04-30,2024-05-02,PE,22850,2024-05-02,25,17.1,22603.55,22708.45,22626.55,22637.7,200.5,191.6,True,5012.5,55.89,-278.39000000000016
2024-05-27,2024-05-28,PE,23150,2024-05-30,25,24.4,22938.75,23008.37,22934.05,22963.35,228.1,211.65,True,5702.5,56.91,-468.15999999999974
2024-06-25,2024-06-26,CE,23500,2024-06-27,25,72.1,23731.65,23690.81,23720.6,23716.5,268.7,246.85,True,6717.5,58.56,-604.81
2024-07-05,2024-07-08,CE,24150,2024-07-11,25,72.9,24342.05,24260.76,24337.05,24310.6,254.55,214.05,True,6363.75,57.41,-1069.91
2024-07-26,2024-07-29,CE,24600,2024-08-01,25,70.9,24849.05,24798.41,24821.8,24921.55,310.8,371.9,True,7770.0,62.78,1464.7199999999991
2024-07-30,2024-07-31,PE,25050,2024-08-01,25,28.3,24847.5,24915.64,24845.35,24896.85,200.0,181.05,True,5000.0,55.58,-529.3299999999997
2024-08-16,2024-08-19,CE,24350,2024-08-22,25,73.8,24554.35,24500.13,24546.15,24614.4,283.0,308.15,True,7075.0,60.52,568.2299999999994
2024-08-28,2024-08-29,PE,25250,2024-08-29,25,27.2,25050.45,25085.47,25055.5,25037.75,204.8,217.1,True,5120.0,56.68,250.81999999999954
2024-09-09,2024-09-10,CE,24750,2024-09-12,25,70.1,24940.55,24905.2,24941.85,24983.55,224.85,245.5,True,5621.25,57.81,458.4400000000001
2024-09-25,2024-09-26,CE,25800,2024-09-26,25,77.6,26017.55,25946.42,26001.3,26045.45,200.7,256.4,True,5017.5,57.72,1334.7799999999997
2024-10-22,2024-10-23,PE,24700,2024-10-24,25,24.8,24449.35,24549.57,24475.1,24491.55,241.45,226.45,True,6036.25,57.89,-432.89
2024-10-23,2024-10-24,PE,24650,2024-10-24,25,28.9,24427.2,24471.82,24442.95,24409.4,230.85,218.2,True,5771.25,57.48,-373.73000000000013
2024-10-29,2024-10-30,CE,24250,2024-10-31,25,71.9,24474.25,24410.39,24472.45,24360.3,266.35,181.45,True,6658.750000000001,56.58,-2179.080000000001
2024-11-12,2024-11-13,PE,24050,2024-11-14,25,29.3,23870.8,23942.2,23873.2,23808.75,200.0,248.3,True,5000.0,58.2,1149.3000000000002
2024-11-19,2024-11-21,PE,23750,2024-11-21,25,12.1,23492.55,23657.11,23525.55,23388.95,273.15,422.3,True,6828.749999999999,65.17,3663.580000000001
2024-12-20,2024-12-23,PE,23800,2024-12-26,25,17.0,23539.3,23671.26,23578.0,23775.9,284.9,144.75,True,7122.499999999999,55.49,-3559.2399999999993
2025-02-25,2025-02-27,PE,22750,2025-02-27,75,28.5,22552.4,22572.63,22563.3,22583.15,168.75,160.3,True,12656.25,69.83,-703.5799999999991
2025-03-18,2025-03-19,CE,22650,2025-03-20,75,78.0,22842.95,22796.39,22833.75,22859.75,236.1,274.05,True,17707.5,84.15,2762.1000000000013
2025-04-07,2025-04-08,CE,22000,2025-04-09,75,75.2,22184.65,22037.82,22183.5,22540.7,444.05,540.7000000000007,False,33303.75,119.37,7129.380000000054
2025-04-23,2025-04-24,CE,24150,2025-04-24,75,71.4,24334.8,24301.51,24339.8,24273.85,181.4,146.5,True,13605.0,68.79,-2686.2900000000004
2025-06-20,2025-06-23,CE,24950,2025-06-26,75,70.1,25116.6,25060.86,25126.35,24927.45,272.0,137.3,True,20400.0,70.83,-10173.33
2025-07-04,2025-07-07,CE,25250,2025-07-10,75,79.2,25462.8,25420.26,25463.95,25452.6,277.8,250.0,True,20835.0,82.98,-2167.980000000001
2025-07-08,2025-07-09,CE,25300,2025-07-10,75,79.8,25536.0,25479.97,25521.4,25490.6,265.2,225.75,True,19890.0,79.99,-3038.739999999999
2025-07-23,2025-07-24,CE,25050,2025-07-24,75,71.2,25229.35,25203.17,25226.55,25212.45,185.75,161.95,True,13931.25,70.57,-1855.5700000000008
2025-08-01,2025-08-04,PE,24750,2025-08-07,75,26.4,24545.65,24620.25,24544.55,24624.35,256.0,186.0,True,19200.0,75.47,-5325.47
2025-08-08,2025-08-11,PE,24600,2025-08-14,75,26.8,24349.2,24409.11,24376.8,24410.85,238.15,235.85,True,17861.25,80.16,-252.66000000000085
2025-08-11,2025-08-12,CE,24400,2025-08-14,75,72.1,24585.95,24550.8,24592.3,24578.85,234.1,216.75,True,17557.5,78.0,-1379.2499999999995
2025-08-18,2025-08-19,PE,25100,2025-08-21,75,27.7,24870.15,24910.18,24881.0,24904.45,218.45,214.45,True,16383.75,77.23,-377.23
2025-08-26,2025-08-28,PE,24900,2025-08-28,75,24.5,24695.0,24763.91,24717.75,24575.5,184.95,325.15,True,13871.25,87.86,10427.14
2025-08-29,2025-09-01,PE,24600,2025-09-02,75,29.1,24406.75,24473.83,24423.5,24513.55,178.8,92.95,True,13410.0,63.02,-6501.770000000001
2025-09-03,2025-09-04,CE,24500,2025-09-09,75,77.6,24725.35,24670.49,24724.2,24862.0,273.8,400.9,True,20535.0,98.86,9433.639999999998
2025-09-25,2025-09-26,PE,25100,2025-09-30,75,22.2,24883.3,24940.52,24887.65,24798.6,185.9,252.75,True,13942.5,80.21,4933.54
2025-10-23,2025-10-24,PE,26100,2025-10-28,75,20.7,25865.35,25959.4,25875.85,25855.35,186.8,222.75,True,14010.0,77.06,2619.189999999999
2025-11-10,2025-11-11,PE,25750,2025-11-11,75,27.8,25565.45,25608.51,25574.7,25526.6,146.25,204.1,True,10968.75,73.73,4265.02
2025-11-14,2025-11-17,CE,25750,2025-11-18,75,75.6,25930.2,25816.61,25933.05,25961.75,229.9,242.15,True,17242.5,80.55,838.2
2025-11-24,2025-11-25,PE,26150,2025-11-25,75,24.9,25954.4,26025.18,25965.95,25960.7,170.8,197.5,True,12810.0,73.85,1928.6499999999992
2026-02-01,2026-02-02,PE,25100,2026-02-03,65,28.7,24850.15,24990.45,24876.0,24824.4,308.4,357.6,True,20046.0,88.99,3109.010000000003
2026-02-02,2026-02-03,CE,24900,2026-02-03,65,72.9,25086.45,24989.1,25090.0,25852.25,200.5,896.8,True,13032.5,135.45,45124.05
2026-02-06,2026-02-09,CE,25500,2026-02-10,65,73.9,25698.5,25637.69,25693.25,25811.9,216.0,342.15,True,14040.0,84.9,8114.8499999999985
2026-02-16,2026-02-17,CE,25500,2026-02-17,65,72.3,25686.75,25630.75,25693.9,25580.45,217.75,113.75,True,14153.75,63.95,-6823.95
2026-02-18,2026-02-19,CE,25650,2026-02-24,65,73.4,25821.95,25776.43,25825.4,25870.0,252.8,254.0,True,16432.0,77.86,0.1399999999992616
2026-02-19,2026-02-20,PE,25700,2026-02-24,65,23.9,25447.6,25542.38,25496.35,25459.75,274.8,271.8,True,17862.0,80.13,-275.13
2026-02-27,2026-03-02,PE,25400,2026-03-02,65,22.3,25167.9,25271.29,25187.3,24929.85,246.55,508.6,True,16025.75,101.09,16932.16
2026-03-06,2026-03-09,PE,24650,2026-03-10,65,25.4,24441.1,24534.12,24460.3,23772.9,322.25,877.0999999999985,False,20946.25,137.16,35928.0899999999
2026-03-09,2026-03-10,CE,23850,2026-03-10,65,73.8,24047.7,23956.06,24035.9,24159.1,318.4,318.5,True,20696.0,85.68,-79.17999999999853
2026-03-16,2026-03-17,CE,23250,2026-03-17,65,72.4,23435.25,23327.91,23442.25,23380.5,263.0,166.7,True,17095.0,70.13,-6329.630000000001
2026-03-19,2026-03-20,PE,23200,2026-03-24,65,29.6,22987.25,23082.56,22992.8,23296.45,368.1,198.4,True,23926.5,76.08,-11106.580000000002
2026-03-27,2026-03-30,PE,23050,2026-03-30,65,24.8,22814.4,22871.72,22827.35,22508.2,342.1,542.85,True,22236.5,107.0,12941.75
2026-04-02,2026-04-06,CE,22550,2026-04-07,65,76.7,22760.4,22615.94,22746.25,22684.95,377.4,282.7,True,24531.0,84.1,-6239.599999999999
2026-04-06,2026-04-07,CE,22750,2026-04-07,65,72.4,22989.35,22904.4,22972.65,22770.35,327.2,102.9,True,21268.0,66.12,-14645.619999999999
2026-04-17,2026-04-20,CE,24150,2026-04-21,65,72.0,24354.55,24326.59,24355.6,24366.05,286.0,249.65,True,18590.0,78.42,-2441.1699999999996
